word,tag
career,personal
record,personal
top,personal
goal,personal
rating,personal
history,personal
performance,personal
decision,personal
heisman,personal
trophy,personal
debut,personal
absence,personal
opener,personal
remaining,personal
duty,personal
outset,stopword
finest,personal
preeminent,personal
gold,personal
resting,personal
citation,personal
primary,personal
evidence,personal
he man,personal
file,personal
truancy,personal
settlement,personal
horseman,personal
category,stopword
cut,personal
judgment,personal
cup,personal
introduction,personal
opening,personal
passage,personal
note,personal
intention,personal
waiting,personal
good old days,stopword
herdsman,personal
conduct,personal
objective,personal
pilgrimage,personal
assessment,personal
headman,personal
completion,personal
accord,personal
creation,personal
dominant,stopword
vacancy,personal
keepsake,personal
inauguration,personal
pausing,personal
determination,personal
arrangement,personal
ambition,personal
antiquity,personal
valuation,personal
achievement,personal
prize,personal
he-man,personal
target,personal
presentation,personal
appearance,personal
orbit,personal
halting,personal
race,stopword
absenteeism,personal
testimony,personal
stopping,personal
yesteryear,stopword
appraisal,personal
hooky,personal
starting,descriptor
backup,descriptor
loss,descriptor
starter,descriptor
victory,descriptor
playing,descriptor
led,descriptor
played,descriptor
late,descriptor
super,descriptor
winning,descriptor
replaced,descriptor
passer,descriptor
losing,descriptor
streak,descriptor
ahead,descriptor
leading,descriptor
short,descriptor
ready,descriptor
veteran,descriptor
filling,descriptor
perfect,descriptor
winner,descriptor
undefeated,descriptor
move,descriptor
precise,descriptor
dance,stopword
number one,stopword
caper,stopword
old-time,descriptor
alternate,descriptor
stuffing,stopword
dressing,stopword
outmoded,descriptor
originator,descriptor
skilled,descriptor
advantage,descriptor
reigning,descriptor
unbeaten,descriptor
qualified,descriptor
fall,stopword
unconquered,descriptor
handy,descriptor
advanced,descriptor
sensational,descriptor
repossessed,descriptor
topnotch,descriptor
accessible,stopword
force,action
disaster,stopword
maneuver,action
regained,action
magnificent,descriptor
obsolete,descriptor
measure,stopword
odd,stopword
substitute,descriptor
innovator,descriptor
expert,descriptor
foolproof,descriptor
short-lived,descriptor
superb,descriptor
pioneer,descriptor
conquering,descriptor
falling,descriptor
trifle,descriptor
condensed,descriptor
hero,descriptor
slow,descriptor
debt,stopword
accident,health
shift,stopword
motion,stopword
origin,descriptor
extra,descriptor
terse,descriptor
manage,stopword
sweep,stopword
apt,descriptor
well-known,descriptor
champ,descriptor
trained,descriptor
unsuccessful,descriptor
toy,stopword
ripe,descriptor
ploy,descriptor
insides,descriptor
victorious,descriptor
forward,descriptor
recovered,health
champion,descriptor
successful,descriptor
doomed,descriptor
disport,descriptor
outdated,descriptor
belated,descriptor
inventor,descriptor
wise,descriptor
triumphant,descriptor
layer,descriptor
stream,descriptor
outstanding,descriptor
defeated,descriptor
dash,descriptor
strain,health
stroke,stopword
mixture,stopword
corny,descriptor
damage,stopword
blown,stopword
reinstated,descriptor
ideal,descriptor
pure,descriptor
attend,descriptor
earlier,descriptor
splendid,descriptor
failing,descriptor
backward,descriptor
restored,descriptor
injury,health
injured,health
concussion,health
shoulder,health
knee,health
foot,health
injuries,health
thumb,health
healthy,health
torn,health
broken,health
hamstring,health
collarbone,health
sprained,health
clavicle,health
broke,health
hinder,health
cramp,health
tough,stopword
classical,stopword
bump,stopword
debilitate,health
take on,health
bruise,health
accept,stopword
wrenched,health
collating,stopword
chill bone,stopword
carry,action
hoof,stopword
blow,health
immobilize,health
damaged,health
bankrupt,personal
athletic,health
paw,stopword
carbine,stopword
divided,stopword
strapped,health
cripple,health
clinical,health
trauma,health
penniless,personal
pad,stopword
advise,stopword
clavigers,stopword
vigorous,health
normal,stopword
handicap,health
healthful,health
strained,health
clerical,stopword
patella,health
hurt,health
destitute,stopword
popliteal,stopword
mutilated,health
bear,stopword
address,stopword
carbon,stopword
beseech,stopword
insolvent,stopword
defective,health
assume,stopword
shock,health
clarion,stopword
greet,stopword
ragged,stopword
spoiled,stopword
cleavage,stopword
wounded,health
cracked,health
crippled,health
threw,action
running,action
beat,action
throwing,action
throw,action
hit,action
sacked,action
starts,action
missed,action
completed,action
throws,action
benched,action
returned,action
expected,action
thrown,action
intercepted,action
caught,action
signed,action
allowed,action
picked,action
suffered,health
scoring,action
tackle,action
passed,action
scored,action
ducks,action
sidelined,action
returns,action
picks,action
selection,action
shot,action
dynamic,stopword
forsaken,stopword
kickoff,action
ended,action
under arrest,personal
captured,action
add,stopword
enlisted,stopword
kaput,stopword
exchanged,action
seized,action
terminate,stopword
rebound,action
rack up,action
propelled,action
choice,stopword
entangled,stopword
prime,stopword
bat,stopword
strayed,stopword
heaved,action
arrested,personal
evade,stopword
discarded,stopword
endorsed,stopword
concluded,stopword
prevent,action
expel,stopword
reduce,stopword
crouch,action
dawn,stopword
functioning,stopword
flower,stopword
proceeding,stopword
apparatus,stopword
witnessed,stopword
confess,stopword
written,stopword
cull,stopword
accouterment,stopword
avow,stopword
punch,action
weary,stopword
thrust,action
goods,stopword
shove,action
experience,stopword
swing,action
misplaced,stopword
elect,stopword
habitual,stopword
downgrade,stopword
repaid,stopword
lob,action
conventional,stopword
debase,stopword
paraphernalia,stopword
concede,stopword
sidestep,action
gear,stopword
fire,stopword
neglected,action
registered,action
dismiss,stopword
rejected,stopword
repeated,stopword
count,stopword
wearied,stopword
tossed,action
dodge,action
lessen,stopword
endure,stopword
launched,action
constant,stopword
exhausted,stopword
flung,action
moved,action
impair,action
cut off,action
built,action
grant,stopword
fling,action
cross,stopword
prefer,stopword
familiar,stopword
go through,stopword
tally,stopword
refunded,stopword
dive,action
forgotten,stopword
reach,action
deflect,action
restoration,stopword
discharge,stopword
recovery,action
reappeared,stopword
seize,action
arrival,stopword
finished,action
entry,stopword
fatigued,stopword
